,,TN1,TN2-int,TN2-ext,TN2-nucleus,TN3,TN4,TN6,TN7-int,TN7-ext,QT1,QT2,QT3,QT4
phytoliths,elongate psilate,,,,,,7,2,4,6,1,15,3,182
,   taphonomised,,,,,,2,3,,,1,5,2,
,tot el. psilate,0,0,0,0,0,9,5,4,6,2,20,5,182
,,,,,,,,,,,,,,
,elongate echinates,,,,,,6,1,,,,3,3,60
,dendritics,,,,,,,,,,,1,3,
,   taphonomised,,,,,1,3,,,,,2,,
,tot el. echinates,0,0,0,0,1,9,1,0,0,0,5,3,60
,,,,,,,,,,,,,,
,elongate wavy,,,,,,2,,,,,,,
,,,,,,,,,,,,,,
,trapeziform,1,,,,,7,1,,,3,,,25
,trapeziform elongated,,,,,,1,,,,1,,,4
,rondel,,,,,,,,,,3,3,,2
,bilobates,,,,,,2,,,,,,,
,saddle,,,,,,3,,,,1,2,,8
,cross,,,,,,,,,,,,,1
,,,,,,,,,,,,,,
,bulliforms,3,,,,2,11,20,3,,11,23,7,7
,    taphonomised,,1,,1,1,7,4,1,,7,9,3,
,tot bulli,3,1,0,1,3,18,24,4,0,18,32,10,7
,,,,,,,,,,,,,,
,hair,,,,,,4,1,,4,1,2,6,9
,   taphonomised,,,,,,,1,,,,1,2,
,tot hair,0,0,0,0,0,4,2,0,4,1,3,8,9
,,,,,,,,,,,,,,
,blocky,,,,,,1,1,1,,,6,,5
,globular rugose,,,,1,,1,,,,2,2,,
,wood vessel,,,,,,,,,,,,,
,scalloped,,,,,,,1,,,,,,
,,,,,,,,,,,,,,
,tracheids,,,,,,,6,,,,,,1
,,,,,,,,,,,,,,
,tot id,4,1,0,2,4,57,41,9,10,31,73,26,304
,(of which taphonomised),0,1,0,1,2,12,8,1,0,8,17,7,0
,,,,,,,,,,,,,,
,unidA,,,,,,,,16,3,,,,
,unidB,2,1,,3,,24,13,,2,20,18,23,
,tot unid,2,1,0,3,0,24,13,16,5,20,18,23,0
,,,,,,,,,,,,,,
,TOT,6,2,0,5,4,81,54,25,15,51,91,49,304
,,,,,,,,,,,,,,
,Slica skeletons,,,,2,,,8,,,1,,,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
fibres,TOT,10,7,9,24,15,25,72,22,20,82,46,28,65